period,strike,shear,twist,rho a,rho b,phi a,phi b
0.0031,62.3672,-31.3545,3.8258,1.1317,0.7281,58.6959,42.8126
0.0042,73.844,2.0461,-0.8701,2.3763,2.6529,52.7369,52.3041
0.0057,58.4707,0.7778,-0.5904,2.1753,2.6325,52.3466,51.6177
0.0076,-141.4585,-16.4449,-6.4581,5.2501,7.2056,54.8397,57.6996
0.0102,-60.9877,17.1313,-2.8749,6.1269,7.5681,57.2719,51.7566
0.0136,-151.8318,-20.345,-0.3457,8.3346,7.1166,51.3889,55.6498
0.0183,-119.3162,-15.5645,-5.475,5.5022,13.46,55.4101,55.1807
0.0245,-162.8972,-15.0775,2.0414,13.9171,5.0473,54.3129,53.9732
0.0329,-153.2221,-18.0356,0.4946,9.893,5.9866,54.9224,54.1126
0.0441,-158.0545,-16.6349,1.6089,10.3839,4.8158,54.2427,52.7033
0.0591,-179.6956,-4.7805,0.2546,12.1514,2.7489,52.5781,53.4385
0.0793,-151.1385,-18.9321,1.4819,7.808,5.1346,52.4088,50.8939
0.1063,-165.8842,-14.5478,2.754,9.0777,2.946,50.5721,51.0616
0.1426,175.3255,-0.6076,-0.7443,11.1584,2.2381,48.4699,51.7151
0.1912,162.7395,10.0227,-5.0866,10.8163,2.7612,49.7569,51.5417
0.2563,-160.8578,-16.5153,3.0127,8.4563,3.6045,49.3913,47.5657
0.3437,178.8549,-4.245,-0.4059,11.0531,2.4032,50.4533,47.8851
0.4609,-165.204,-14.8822,3.0616,9.9796,3.2798,45.5332,47.4459
0.6179,-153.0777,-19.0476,0.6469,6.5822,4.3136,49.714,46.6399
0.8286,-134.9188,-20.0094,-4.4394,4.6702,6.7893,44.91,47.3674
1.111,-167.2191,-15.6198,2.5794,7.481,2.7372,45.9761,53.2384
1.4897,-144.1749,-17.4874,-1.1261,4.3878,4.5046,51.5966,51.1948
1.9974,-114.4945,-11.6648,-4.8532,2.0052,7.4911,51.2462,54.8809
2.6782,-108.5132,-8.4702,-9.426,0.9519,5.6858,71.2576,51.4467
3.5911,31.2103,-1.5461,0.4895,0.9411,1.3494,52.44,48.7382
4.8151,13.5168,0.9131,-1.7713,0.5253,0.8318,62.6002,46.574
6.4564,-2.491,-29.1637,25.4636,0.0631,0.0632,45.1889,62.0548
8.657,36.8951,-39.1793,-7.3675,0.3305,0.4907,51.1483,31.233
11.6078,18.3135,-31.817,6.7194,0.9322,0.0013,75.7743,0.3587
15.5643,53.1983,-32.222,-0.8776,0.2488,0.6005,72.5431,-3.1355
20.8694,46.897,-23.5359,0.2778,0.1969,0.7775,51.7736,9.0797
27.9828,23.1099,-1.1813,9.1066,1.8243,0.8686,34.8812,7.757
37.5208,48.8135,2.977,0.8685,1.9209,3.2141,28.0843,3.32
50.3098,47.3159,5.5164,2.6637,2.0191,3.4327,21.5334,8.9053
67.4579,27.5064,-8.5612,-7.9859,1.98,4.7787,18.9247,12.1149
90.451,15.1232,-10.0288,-5.1775,2.7236,5.0525,25.7786,13.2109
121.2813,20.742,-15.1909,-13.3598,3.4898,8.5906,36.5265,13.9125
162.6201,10.4465,-10.5572,-6.4108,1.6635,4.096,54.2546,15.0205
